R_Coleoptile_Biomass	Coleoptile Biomass reaction
R_3OCR280r	3-oxoacyl-CoA reductase (n-C28:0)
R_3HCD280cr	3-hydroxyacyl-CoA dehydratase (n-C28:0)
R_ECR280yr	enoyl-CoA reductase (NADPH) (n-C28:0)
R_3OCS300r	3-oxoacyl-CoA synthase (n-C30:0)
R_3OCR300r	3-oxoacyl-CoA reductase (n-C30:0)
R_3HCD300r	3-hydroxyacyl-CoA dehydratase (n-C30:0)
R_ECR300yr	enoyl-CoA reductase (NADPH) (n-C30:0)
R_FA140ACOASc	long-chain-fatty-acid-CoA ligase (n-C14:0)
R_FA160ACOASc	long-chain-fatty-acid-CoA ligase (n-C16:0)
R_FA161ACOASc	long-chain-fatty-acid-CoA ligase (n-C16:1)
R_FA180ACOASc	long-chain-fatty-acid-CoA ligase (n-C18:0)
R_FA181ACOASc	long-chain-fatty-acid-CoA ligase (n-C18:1)
R_FA182ACOASc	long-chain-fatty-acid-CoA ligase (n-C18:2)
R_FA183ACOASc	long-chain-fatty-acid-CoA ligase (n-C18:3)
R_FACOAL183x	fatty-acid--CoA ligase (linoleoate)
R_ACOA180ORx	Octadecanoyl-CoA::oxygen 2-oxidoreductase
R_HCAD8x	(3R)-3-Hydroxyoctadecanoyl-CoA:NAD+ oxidoreductase
R_ACAT8x	HexadecanoylCoA:acetyl-CoA C-acyltransferase
R_FAOS183yx	fatty acid oxidation saturation (C18)
R_FAOS182yx	fatty acid oxidation saturation (C18)
R_FAOS181yx	fatty acid oxidation saturation (C18)
R_FAOS161yx	fatty acid oxidation saturation (C16)
R_FAOS183x	fatty acid oxidation saturation (C18)
R_FAOS182x	fatty acid oxidation saturation (C18)
R_FAOS181x	fatty acid oxidation saturation (C18)
R_FAOS161x	fatty acid oxidation saturation (C16)
R_3OCS60m	3-oxoacyl-CoA synthase (n-C6:0)
R_3OCR60m	3-oxoacyl-CoA reductase (n-C6:0)
R_3HCD60m	3-hydroxyacyl-CoA dehydratase (n-C6:0)
R_ECR60ym	enoyl-CoA reductase (NADPH) (n-C6:0)
R_3OCS80m	3-oxoacyl-CoA synthase (n-C8:0)
R_3OCR80m	3-oxoacyl-CoA reductase (n-C8:0)
R_3HCD80m	3-hydroxyacyl-CoA dehydratase (n-C8:0)
R_ECR80ym	enoyl-CoA reductase (NADPH) (n-C8:0)
R_3OCS100m	3-oxoacyl-CoA synthase (n-C10:0)
R_3OCR100m	3-oxoacyl-CoA reductase (n-C10:0)
R_3HCD100m	3-hydroxyacyl-CoA dehydratase (n-C10:0)
R_ECR100ym	enoyl-CoA reductase (NADPH) (n-C10:0)
R_3OCS120m	3-oxoacyl-CoA synthase (n-C12:0)
R_3OCR120m	3-oxoacyl-CoA reductase (n-C12:0)
R_3HCD120m	3-hydroxyacyl-CoA dehydratase (n-C12:0)
R_ECR120ym	enoyl-CoA reductase (NADPH) (n-C12:0)
R_3OCS140m	3-oxoacyl-CoA synthase (n-C14:0)
R_3OCR140m	3-oxoacyl-CoA reductase (n-C14:0)
R_3HCD140m	3-hydroxyacyl-CoA dehydratase (n-C14:0)
R_ECR140ym	enoyl-CoA reductase (NADPH) (n-C14:0)
R_3OCS160m	3-oxoacyl-CoA synthase (n-C16:0)
R_3OCR160m	3-oxoacyl-CoA reductase (n-C16:0)
R_3HCD160m	3-hydroxyacyl-CoA dehydratase (n-C16:0)
R_ECR160ym	enoyl-CoA reductase (NADPH) (n-C16:0)
R_MTE160m	mitochondrial acyl-CoA thioesterase
R_MACPCLm	malonyl-[acyl-carrier-protein] carboxy-lyase
R_FAS161ACP_Lm	fatty acyl-ACP synthase (n-C16:1ACP)
R_FAS181ACP_Lm	fatty acyl-ACP synthase (n-C18:1ACP)
R_FAS182ACP_Lm	fatty acyl-ACP synthase (n-C18:2ACP)
R_FAS183ACP_Lm	fatty acyl-ACP synthase (n-C18:3ACP)
R_G3PDNc	glycerol-3-phosphate dehydrogenase (NAD+)
R_G3PATr	Glycerol-3-phosphate O-acyltransferase, endoplasmic reticular
R_G3PATs	Glycerol-3-phosphate O-acyltransferase, plastidic
R_G3PATm	Glycerol-3-phosphate O-acyltransferase, mitochondrial
R_PAPAr	Phosphatidate phosphatase, endoplasmic reticular
R_PAPAs	Phosphatidate phosphatase, plastidic
R_PAPAm	Phosphatidate phosphatase, mitochondrial
R_DAGACTr	diacylglycerol O-acyltransferase, endoplasmic reticular
R_TAGLc	triacylglycerol lipase
R_DAGLc	diacylglycerol lipase
R_MAGLc	monoacylglycerol lipase
R_CDPDAGSr	phosphatidate cytidylyltransferase, endoplasmic reticular
R_CDPDAGSm	phosphatidate cytidylyltransferase, mitochondrial
R_CDIPTr	phosphatidylinositol synthase, endoplasmic reticular
R_PGPSr	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, endoplasmic reticular
R_PGPSm	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial
R_PGPPm	Phosphatidylglycerophosphatase, mitochondrial
R_CLPNSm	cardiolipin synthase, mitochondrial
R_PSSr	phosphatidylserine synthase, endoplasmic reticular
R_PSSm	phosphatidylserine synthase, mitochondrial
R_PEDCr	phosphatidylserine decarboxylase, endoplasmic reticular
R_PEDCm	phosphatidylserine decarboxylase, mitochondrial
R_ETHAPTr	Ethanolaminephosphotransferase, endoplasmic reticular
R_PETHACTr	phosphoethanolamine cytidyltransferase
R_PETHAMTr	phosphoethanolamine N-methyltransferase , endoplasmic reticular
R_PETHAMTs	phosphoethanolamine N-methyltransferase, plastidic
R_PCHOLPPr	phocholine phosphatase, endoplasmic reticular
R_PCHOLPPs	phocholine phosphatase, plastidic
R_CHOLPCTr	choline phosphate cytididyltransferase, endoplasmic reticular
R_CHOLPCTs	choline phosphate cytididyltransferase, plastidic
R_DAGCPr	diacylglycerol cholinephosphotransferase, endoplasmic reticular
R_DAGCPs	diacylglycerol cholinephosphotransferase, plastidic
R_PLCr	Phospholipase C 
R_PLAr	Phospholipase A
R_LPPr	Lysophospholipase
R_GPEPEr	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)
R_MGDGSs	monogalactosyldiacylglycerol synthase
R_DGDGSs	digalactosyldiacylglycerol synthase
R_SQTs	sulfoquinovosyltransferase
R_LNL9LOs	linolenate 9-lipoxygenase
R_OCDCYA9LOs	linoleate 9-lipoxygenase
R_LNL13LOs	linolenate 13-lipoxygenase
R_OCDCYA13LOs	linoleate 13-lipoxygenase
R_LNL9HPLs	linolenate 9-hydroperoxide lyase
R_OCDCYA9HPLs	linoleate 9-hydroperoxide lyase
R_LNL13HPLs	linolenate 13-hydroperoxide lyase
R_OCDCYA13HPLs	linoleate 13-hydroperoxide lyase
R_HPDHs	hydroperoxide dehydratase
R_ALOCs	allene-oxide cyclase
R_OPRx	12-oxophytodienoate reductase
R_3OOPCOALx	3-oxo-2-(2-[Z]-pentenyl)cyclopentane-1-octanoate CoA ligase
R_OPC8ACOx	OPC8 acyl-CoA oxidase
R_OPC8T2ECHx	OPC8-trans-2-enoyl-CoA hydratase
R_OPC8HACDHx	OPC8-3-hydroxyacyl-CoA dehydrogenase
R_OOPC8CTx	OPC8-3-ketoacyl-CoA thiolase
R_OPC6ACOx	OPC6 acyl-CoA oxidase
R_OPC6T2ECHx	OPC6-trans-2-enoyl-CoA hydratase
R_OPC6HACDHx	OPC6-3-hydroxyacyl-CoA dehydrogenase
R_OOPC6CTx	OPC6-3-ketoacyl-CoA thiolase
R_OPC4ACOx	OPC4 acyl-CoA oxidase
R_OPC4T2ECHx	OPC4-trans-2-enoyl-CoA hydratase
R_OPC4HACDHx	OPC4-3-hydroxyacyl-CoA dehydrogenase
R_OOPC4CTx	OPC4-3-ketoacyl-CoA thiolase
R_JASCHc	jasmonate coa hydrolase
R_JASIc	jasmonate synthase, spontaneous
R_AMETJASMTc	S-adenosyl-L-methionine:jasmonate O-methyltransferase
R_JASVSc	jasmonic acid-valine synthetase
R_JASILSc	jasmonic acid-isoleucine synthetase
R_JASLSc	jasmonic acid-leucine synthetase
R_SGPL12r	sphingosine 1-phosphate aldolase
R_ASPHGNAr	N-Acylsphingosine amidohydrolase
R_PCAHr	Phytoceramide amidohydrolase
R_ASPHGNAHr	N-Acylsphingosine amidohydrolase
R_SPHOORr	sphinganine oxygen oxidoreductase (NADPH, 4-hydroxylating)
R_PCSr	dihydrosphinganine delta(4)-desaturase
R_DHCDSr	dihydroceramide delta(4)-desaturase
R_ASPHGNAT1r	acyl-CoA:sphingosine N-acyltransferase
R_ASPHGNAT2r	acyl-CoA:sphingosine N-acyltransferase
R_ASPHGNAT3r	acyl-CoA:sphingosine N-acyltransferase
R_UGCGr	Ceramide glucosyltransferase
R_UGALCGc	glucosylceramide beta-1,4-galactosyltransferase lactosylceramide synthase
R_GLB1c	Beta-galactosidase
R_OACPSSTm	octanoyl-[acp]:sulfur sulfurtransferase
R_LACPLTm	lipoyl-[acp]:protein N6-lipoyltransferase
R_MCOAMTc	malonyl-CoA O-methyltransferase
R_MACPMMEc	malonyl-[acyl-carrier protein]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase
R_3HGNORc	3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase
R_3HGMELc	3-hydroxyglutaryl-[acp]-methyl-ester hydro-lyase
R_GLUACPMEORc	glutaryl-[acp]-methyl-ester:NADP+ oxidoreductase
R_GLUMEORc	glutaryl-[acp]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
R_HPIMMEORc	3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase
R_HPIMMELc	3-hydroxypimeloyl-[acp]-methyl-ester hydro-lyase
R_PIMACPMEc	pimelyl-[acyl-carrier protein]-methyl-ester:NADP+ oxidoreductase
R_PACPMEEc	pimelyl-[acyl-carrier protein] methyl ester esterase
R_AONSc	8-amino-7-oxononanoate synthase
R_AMETAOTc	adenosylmethionine-8-amino-7-oxononanoate transaminase
R_DTBTSc	dethiobiotin synthase
R_BTNSc	biotin synthase
R_PFRTc	protein farnesyltransferase
R_CAAPc	CAAX protease
R_PIOCMTc	protein-S-isoprenylcysteine O-methyltransferase
R_FRCYOc	farnesyl-L-cysteine oxidase
R_FRNCTIc	(2E,6E)-farnesol 2-cis-trans-isomerase
R_FRORc	2-trans,6-trans-farnesol:NADP+ 1-oxidoreductase
R_FRPTc	CTP:2-trans,6-trans-farnesol O-phosphotransferase
R_FRPPTc	CTP:farnesyl-phosphate phosphotransferase
R_G16MT1c	alpha-1,6-mannosyltransferase (G00004)
R_G16MT2c	alpha-1,6-mannosyltransferase (G10596)
R_MGAGT1c	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (G00013)
R_MGAGT2c	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (G00015)
R_MGAGT3c	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (G10619)
R_GPXTc	glycoprotein 2-beta-D-xylosyltransferase
R_GPFTc	glycoprotein 3-alpha-L-fucosyltransferase
R_PIACGTc	phosphatidylinositol N-acetylglucosaminyltransferase
R_ACGPIDc	N-acetylglucosaminylphosphatidylinositol deacetylase
R_GPIATc	glucosaminylphosphatidyl inositol acetyltransferase
R_GPIMTc	GlcN-acylPI mannosyltransferase
R_H6ET3c	H6 phosphoethanolaminyl transferase
R_H2MTc	H2 mannosyltransferase
R_H3MTc	H3 mannosyltransferase
R_H4ETc	H4 phosphoethanolaminyl transferase
R_H6MTc	H6 mannosyltransferase
R_B3GALT3c	Beta-1,3-galactosyltransferase 3
R_AGALSc	alpha-galactosidase
R_HXAMS1c	Hexaminadose
R_SIAT9c	Lactosylceramide alpha-2,3-sialyltransferase
R_GALGT2c	Beta-1,4 N-acetylgalactosaminyltransferase
R_B3GALT42c	Beta-1,3-galactosyltransferase 4
R_HXAMS2c	Hexaminadose
R_BGALSc	beta-galactosidase
R_UDPACGALEc	UDP-N-acetylglucosamine 4-epimerase
R_ALATc	alanine---tRNA ligase, cytosolic
R_ALATs	alanine---tRNA ligase, plastidic
R_ALATm	alanine---tRNA ligase, mitochondrion
R_METTc	N-methyltransferase
R_BETAHHs	betaine aldehyde hydrate hydratase
R_CHOLMOs	choline monooxygenase
R_GLYB1s	Glycine betane biosynthesis, spontaneous reaction
R_23DDHBDHs	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
R_ENTBSs	enterobactin synthetase
R_GDPMDHc	GDP-mannose 4,6-dehydratase
R_DTDPDHRRc	dTDP-4-dehydrorhamnose reductase
R_ARAB5PIc	arabinose-5-phosphate isomerase
R_UACGAMCVTc	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
R_UACMDHc	UDP-N-acetylmuramate dehydrogenase
R_STCSDSc	strictosidine synthase
R_TRPNRc	tropinone (psi-tropine-forming) reductase
R_CNLNSs	L-canaline synthase
R_ASPCT2s	Aspartate carbamoyltransferase 2
R_CAVNS2s	argininosuccinate synthase
R_ARGSL2s	argininosuccinate lyase
R_ARGCAVs	arginase (cavanine)
R_CC3H1c	p-coumarate:caffeate 3-hydroxylase
R_CAFFMTc	caffeate O-methyltransferase
R_FERHc	ferulate 5-hydroxylase 
R_HFERMTc	hydroxy-ferulate O-methyltransferase
R_DHQRc	dihydroquercetin reductase
R_LCAKGORc	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase
R_UDPGATc	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase
R_UDPGAGGc	UDP-glucose:anthocyanidin 3-glucoside-2-O-glucosyltransferase
R_GENT1c	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
R_GENT2c	UDP-glucose:anthocyanidin-3-glucoside glucosyltransferase
R_GENT3c	UDP-glucose:anthocyanidin-3-glucoside glucosyltransferase
R_GENT4c	anthocyanin 3-O-glucoside 6-O-hydroxycinnamoyltransferase
R_GENT5c	anthocyanin 3-O-glucoside 6-O-hydroxycinnamoyltransferase
R_GENT6c	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
R_GENT7c	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
R_GENT8c	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
R_GENT9c	hydroxycinnamoyl-CoA:anthocyanidin 3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase
R_PLIVLPNSm	phloroisovalerophenone synthase
R_PRET1c	prenyltransferase 1
R_PRET2c	prenyltransferase 2
R_HUMSc	humulone synthase
R_PLIBTNSm	phloroisobutyrophenone synthase
R_PRET3c	prenyltransferase 3
R_PRET4c	prenyltransferase 4
R_CHUMSc	cohumulone synthase
R_LACRc	lactate racemase
R_HMGS_Ss	S-(hydroxymethyl)glutathione synthase (spontaneous)
R_HMGDys	S-(hydroxymethyl)glutathione dehydrogenase
R_NADOR2u	NAD(P)H-dehydrogenase (complex I-like)
R_MRs	Mehler reaction
R_CBFCNCEFs	cytochrome b6/f complex
R_CCEFs	Cyclic electron flow
R_PSIMR	photosystem I
R_PSIINC	photosystem II
R_ACHMSSCc	O-Acetylhomoserine succinate-lyase (adding cysteine), cytosol
R_ACHMSSCs	O-Acetylhomoserine succinate-lyase (adding cysteine), chloroplast
R_PHOMSCc	O-Phosphorylhomoserine succinate-lyase (adding cysteine), cytosol
R_PHOMSCs	O-Phosphorylhomoserine succinate-lyase (adding cysteine), chloroplast
R_SELTORc	Selenite:ferredoxin oxidoreductase, cytosol
R_METTSc	methionyl-tRNA synthetase
R_METSMTFc	methionine S-methyltransferase
R_SELMETLs	Selenomethionine methanethiol-lyase (deaminating)
R_MCFTc	24-methylenecycloartanyl feruloyltransferase
R_CYARTFTc	Cycloartenol feruloyltransferase
R_CAMPSTFTc	campesterol feruloyltransferase
R_SITSTFTc	sitosterol feruloyltransferase
R_LEVSc	levansucrase
R_SSFTc	sucrose:sucrose fructosyltransferase
R_FFFTc	2,1-fructan:2,1-fructan 1-fructosyltransferase
R_SFFTc	sucrose:fructan 6-fructosyltransferase
R_FRCEXHc	fructan exohydrolase
R_DGSNTTPc	diguanosinetetraphosphatase
R_ACPCDAc	1-aminocyclopropane-1-carboxylate deaminase
R_AHCYSNc	adenosylhomocysteine nucleosidase
R_ADECYCc	adenylate cyclase
R_TYRMOc	tyrosine 3-monooxygenase
R_4HTHBPTHLc	4a-hydroxytetrahydrobiopterin hydro-lyase
R_THBPTDHc	5,6,7,8-tetrahydrobiopterin:NAD+ oxidoreductase
R_PHENMUTc	phosphopentomutase
R_MALTDPs	maltodextrin phosphorylase
R_MALTGAMs	maltase-glucoamylase
R_NRGNMTc	naringenin 7-O-methyltransferase
R_UDPGLTLNGc	UDP-glucose-luteolin beta-D-glucosyltransferase
R_UDPRMNLc	UDP-L-rhamnose:luteolin-7-O-beta-D-glucoside 2-O-alpha-L-rhamnosyltransferase
R_UDPGAPGNGc	UDPglucose:apigenin 7-O-beta-D-glucosyltransferase
R_UDPRMNAc	UDP-L-rhamnose:apigenin 7-O-beta-D-glucoside 2-O-beta-L-rhamnosyltransferase
R_CRPESc	beta-caryophyllene synthase
R_HUMLSc	alpha-humulene synthase
R_ELMSc	beta-elemene synthase
R_GAAKORG4498c	(gibberellin-4),2-oxoglutarate:oxygen oxidoreductase
R_NADtm	NAD transporter, mitochondrial
R_UACGAMtm	UDP-N-acetyl-D-glucosamine transport, mitochondrial
R_CKDOtm	CMPKDO transport, mitochondrial
R_THFtm	Tetrahydrofolate transport, diffusion, mitochondrial
R_FORtm	formate transport out via proton symport, mitochondrial
R_ADENm	adenine nucleotide carrier, mitochondrial
R_LYSt2m	Amino acid transporter (lys-L), mitochondrial
R_METt2m	Amino acid transporter (met-L), mitochondrial
R_ASPGLU2m	Aspartate-glutamate transporter
R_H2Otm	H2O transport, mitochondrial
R_CO2tm	CO2 transport, mitochondrial
R_NH4tm	ammonia transport, mitochondrial
R_O2tmr	O2 transport (diffusion)
R_FADH2tm	FADH2 transport, mitochondria
R_FADtm	FAD transport by free diffusion, mitochondria
R_PItm	phosphate transporter, mitochondrial
R_H2O2tm	hydrogen peroxide transport via diffusion, mitochondria
R_ATPtm	ADP/ATP transporter, mitochondrial
R_4ABUTtmi	Gamma-aminobutyric acid permease, mitochondrial
R_SUCFUMtmr	Succinate/fumarate antiporter, mitochondrial
R_GLYtm	Amino acid transporter (gly), mitochondrial
R_SERtm	Amino acid transporter (ser-L), mitochondrial
R_DICtm	dicarboxylate transport, mitochondrial
R_MALCITtm	Dicarboxylate/tricarboxylate carrier (mal:cit), mitochondrial
R_MALAKGtm	Malate/2-oxoglutarate carrier, mitochondrial
R_SO4AKGtm	Sulfate/2-oxoglutarate carrier, mitochondrial
R_AKGCITtm	Dicarboxylate/tricarboxylate carrier (akg:cit), mitochondrial
R_AKGICITtm	Dicarboxylate/tricarboxylate carrier (akg:icit), mitochondrial
R_MALICITtm	Dicarboxylate/tricarboxylate carrier (mal:icit), mitochondrial
R_MALOAAtm	Dicarboxylate/tricarboxylate carrier (mal:oaa), mitochondrial
R_OAAAKGtm	Dicarboxylate/tricarboxylate carrier (oaa:akg), mitochondrial
R_OAACITtm	Dicarboxylate/tricarboxylate carrier (oaa:cit), mitochondrial
R_OAAICITtm	Dicarboxylate/tricarboxylate carrier (oaa:icit), mitochondrial
R_ASNtm	Asparagine/H+ symporter, mitochondrial
R_ORNtm	mitochondrial basic amino acid transporter, orn for arg-L
R_CITRtm	mitochondrial basic amino acid transporter, orn for arg-L
R_ACtm	acetate transport, mitochondrial
R_COAtm	CoA transporter
R_ACCOAtm	Acetyl-CoA:CoA antiporter, mitochondrial
R_IPDPtm	isopentenyl pyrophosphate transport, mitochondria
R_HCO3_LPAREN_h_RPAREN_tmi	hco3 transport, mitochondria
R_GCOAtm	Glutaconyl-CoA reversible mitochondrial transport
R_GLXtm	glyoxylate transport, mitochondrial
R_3HPCOAtm	3-Hydroxypropionyl-CoA transport, mitochondria
R_CTPtm	CTP/CMP antiport
R_2AHHMPtm	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine transport
R_4ABZtm	4-Aminobenzoate mitochondrial transport via diffusion
R_THMPPt2m	Thiamine diphosphate transport, mitochondria
R_FMNtm	FMN transport, mitochondrial
R_PANTtm	pantothenate mitochondrial transport
R_2OXOADPTm	2-oxoadipate shuttle (cytosol/mitochondria)
R_TSULtm	Thiosulfate porter, mitochondrial
R_5FTHFtm	5-Formyltetrahydrofolate uptake carrier, mitochondria
R_MLTHFtm	5,10-Methylenetetrahydrofolate uptake carrier, mitochondria
R_ACSERtmi	efflux pump for O-acetylserine, mitochondria
R_NA1ATPasem	Na+-translocating F-type ATPase, mitochondrial
R_NA1Htm	Na+/H+ antiporter, mitochondrial
R_PInatm	phosphate transporter, mitochondrial
R_PHEMEtm	protoheme transport (mitochondrion)
R_FA40COAtm	butanoyl-CoA transport (mitochondria)
R_MSAtm	malonate-semialdehyde transport, mitochondria
R_MHDASCBtm	Monodehydroascorbate transport, mitochondrial
R_PINA1tm	Pi:Na+ symporter, mitochondrial
R_CHORtm	Chorismate transport, mitochondrial
R_SO3tm	sulfite transport, mitochondrial
R_GLYCtm	glycerol transport, mitochondrial
R_CDPDAGtm	CDP-diacylglycerol transport, mitochondrial
R_PTD1INOtm	1-Phosphatidyl-D-myo-inositol transport, Mitochondrial
R_PEtm	Phosphatidylethanolamine transport, Mitochondrial
R_PStm	PhosphatidylsMitochondrialine transport, Mitochondrial
R_PGPtm	PhosphatidylglycMitochondrialophosphate transport, Mitochondrial
R_H2Stm	H2S mitochondrial transport
R_PLIVLPNm	Phlorisovalerophenone transport
R_PLIBTNm	Phlorisobutyrophenone transport
R_ACts	Acetate transporter, plastidic
R_NADts	NAD transporter, plastidic
R_5FTHFts	5-Formyltetrahydrofolate uptake carrier, plastid
R_5MTHFts	5-Methylenetetrahydrofolate uptake carrier, plastid
R_MHDASCBts	Monodehydroascorbate transport, plastidic
R_DHORSts	(S)-Dihydroorotate transport via diffusion, plastid
R_OROTts	Orotate transport via diffusion, plastidic
R_ACCOAts	Acetyl-CoA:CoA antiporter, plastidic
R_SUCCOAtz	Succinyl-CoA transport, plastid
R_TSULts	Thiosulfate porter, plastidic
R_ASPts	Amino acid transporter (asp-L), plastidic
R_CYSts	cysteine transport, plastidic
R_GLYts	Amino acid transporter (gly), plastidic
R_HISts	Amino acid transporter (his-L), plastidic
R_ILEts	Amino acid transporter (ile-L), plastidic
R_LEUts	Amino acid transporter (leu-L), plastidic
R_LYSts	Amino acid transporter (lys-L), plastidic
R_METts	Amino acid transporter (met-L), plastidic
R_PHEts	phenylalanine transport, plastidic
R_PROts	Amino acid transporter (pro-L), plastidic
R_SERts	Amino acid transporter (ser-L), plastidic
R_THRts	Amino acid transporter (thr-L), plastidic
R_TRPts	Tryptophan permease, plastidic
R_TYRts	Tyrosine permease, plastidic
R_VALts	Amino acid transporter (val-L), plastidic
R_THFts	Tetrahydrofolate transport, diffusion, plastidic
R_FORts	formate out via proton symport, plastidic
R_G1P_LPAREN_pi_RPAREN_ts	Glucose 1-phosphate:pi antiporter, plastidic
R_G3P_LPAREN_pi_RPAREN_tsr	Glyceraldehyde 3-phosphate transport via triose-phosphate translocator (from plastid)
R_G6PA_LPAREN_pi_RPAREN_ts	alpha-glucose 6-phosphate:pi antiporter, plastidic
R_G6PB_LPAREN_pi_RPAREN_ts	beta-glucose 6-phosphate:pi antiporter, plastidic
R_DHAP_LPAREN_pi_RPAREN_tsr	Dihydroxyacetone phosphate transport via triose-phosphate translocator (from plastidic)
R_3PG_LPAREN_pi_RPAREN_tsr	3-Phospho-D-glycerate transport via triose phosphate translocator (from plastidic)
R_PEPPIts	Phosphoenolpyruvate:Pi antiporter, plastidic
R_ATP2ts	AMP transporter, plastidic
R_FMNts	FMN transport, plastidic
R_4ABZts	4-Aminobenzoate plastidic transport via diffusion
R_NICRNTts	Nicotinate D-ribonucleotide plastidic transport via diffusion
R_THMPPt2s	Thiamine diphosphate transport, plastidic
R_H2Ots	H2O transport, plastidic
R_CO2ts	CO2 plastidic transport
R_H2Sts	H2S plastidic transport
R_NH4ts	ammonia transport, plastidic
R_O2tsr	O2 transport (diffusion), plastidic
R_Pits	phosphate transporter, plastidic
R_SO4ts	Sulfate transport, plastidic
R_NO2ts	nitrite transport, plastidic
R_HCYSts	homocysteine transport, chloropalst
R_ATPts	ADP/ATP transporter, plastidic
R_GLYCRts	Glycolate/Glycerate transport, plastidic
R_MALFUMts	Malate/Fumarate transport, plastidic
R_MALOAAts	Oxaloacetate/Malate transport, plastidic
R_MALAKGts	alpha-Ketoglutarate/Malate transport, plastidic
R_MALGLUts	Glutamate/Malate transport, plastidic
R_SUCFUMtsr	succinate-fumarate antiport, plastid
R_UDPGALts	UDP-galactose:UMP antiporter, plastid
R_UDPGts	UDP-glucose antiporter, plastid
R_RIBFLVts	riboflavin transport, plastidic
R_IPDPts	Isopentenyl diphosphate transport, plastidic
R_EKAURts	ent-kaurene transport, plastidic
R_UTPUMPts	UMP transporter
R_PPHNts	prephenate transport, plastidic
R_CHOLts	Choline transport, plastidic
R_4ABUTts	Gamma-aminobutyric acid permease, plastidic
R_GLU4ABUTtsi	Glutamate:gamma-aminobutyrate antiporter, plastidic, irreversible
R_GLYC3Pts	glycerol 3-phosphate transport (plastid)
R_GLYCts	Glycerol:H+ symporter, plastidic
R_CTPts	CDP/CTP transporter, plastidic
R_UTPts	UDP/UTP transporter, plastidic
R_FE2ts	ferrous iron transport, plastidic
R_FE3abcs	ferric iron transport (ABC-type), plastidic
R_HCO3_LPAREN_h_RPAREN_tsi	hco3 transport, plastid
R_HGENTISts	homogentisate transport
R_PHEMEts	protoheme transport (plastid)
R_PINA1ts	Pi:Na+ symporter, plastid
R_MG2ts	Divalent cation (Mg2+) transport system, plastid
R_METHFts	5,10-Methenyltetrahydrofolate uptake carrier, plastid
R_NA1ATPases	Na+-translocating F-type ATPase, plastid
R_PYRts	pyruvate transport by free diffusion, plastid
R_NA1Hts	Na+/H+ antiporter, plastid
R_FA140s	fatty acid transport (14:0), plastidic
R_FA160s	fatty acid transport (16:0), plastidic
R_FA161s	fatty acid transport (16:1), plastidic
R_FA180s	fatty acid transport (18:0), plastidic
R_FA181s	fatty acid transport (18:1), plastidic
R_FA182s	fatty acid transport (18:2), plastidic
R_FA183s	fatty acid transport (18:3), plastidic
R_ARGSUCts	Argininosuccinate transport, plastid
R_ACGLUts	Acetylglutamate transport, plastid
R_GLYBETts	Glycine betaine transport, plastid
R_AC5GSAtr	N-Acetyl-L-glutamate 5-semialdehyde transport
R_ACORNts	N2-Acetyl-L-ornithine transport
R_CHORts	Chorismate transport
R_26dap_DASH_Mts	meso-2,6-Diaminoheptanedioate transport
R_STEMts	Stemar-13-ene transport
R_EIKAURts	ent-isokaurene transport
R_ECASDts	ent-Cassa-12,15-diene transport
R_ESANDts	ent-Sandaracopimara-8(14),15-diene transport
R_DHZts	Dihydrozeatin transport
R_IPADNEts	N6-Dimethylallyladenine transport
R_TZTNRts	trans-zeatin riboside transport
R_TZTNts	trans-zeatin transport
R_IPADNts	Isopentenyl adenosine transport
R_COA_LPAREN_h_RPAREN_ts	CoA transport, plastid
R_OPDAts	OPDA transport, plastidic
R_PYRtv	pyruvate vacuolar transport
R_FRUCtv	hexose vacuolar transport via proton symport
R_GLCAtv	hexose vacuolar transport via proton symport
R_GLCBtv	hexose vacuolar transport via proton symport
R_GLYtv	Amino acid transporter (gly), vacuolar
